"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"2022-08-16";"839.7098";"75.55";"0.37";"4363.26";"217.2";"1111.397";"11697.59";"19879.97"
"2022-08-15";"835.7255";"75.2";"0.4";"4693.52";"218";"1111.397";"11698.01";"19878.86"
"2022-08-14";"831.2698";"74.81";"0.44";"5051.88";"126.7";"1111.1543";"11696.77";"19874.51"
"2022-08-13";"826.3788";"74.37";"0.44";"5059.31";"118.3";"1111.1543";"11697.17";"19873.46"
"2022-08-12";"821.4542";"73.93";"0.39";"4518.9";"181.6";"1111.1543";"11697.41";"19872.82"
"2022-08-11";"817.1391";"73.56";"0.37";"4450.71";"367.1";"1110.9166";"11697.61";"19872.29"
"2022-08-10";"813.0262";"73.19";"0.4";"4657.42";"207";"1110.9166";"11697.88";"19871.59"
"2022-08-09";"808.5525";"72.78";"0.38";"4418.22";"150.2";"1110.9454";"11685.06";"19824.69"
"2022-08-08";"804.3098";"72.4";"0.39";"4531.55";"203";"1110.9454";"11677.41";"19795.21"
"2022-08-07";"799.9542";"72.01";"0.47";"5274.78";"78.1";"1110.9449";"11698.66";"19869.47"
"2022-08-06";"794.7795";"71.54";"0.45";"5129.64";"105.7";"1110.9568";"11699";"19868.57"
"2022-08-05";"789.7742";"71.09";"0.37";"4372.43";"276";"1110.9568";"11699.12";"19868.24"
"2022-08-04";"785.7";"71.19";"0.33";"3938.93";"305.2";"1103.6939";"11636.3";"19797.75"
"2022-08-03";"782.5932";"70.9";"0.36";"4160.63";"154.2";"1103.7839";"11636.64";"19796.86"
"2022-08-02";"778.6011";"70.54";"0.39";"4443.38";"157.9";"1103.7839";"11636.97";"19795.99"
"2022-08-01";"774.3412";"70.15";"0.36";"4194.48";"219.9";"1103.7849";"11637.14";"19795.55"
"2022-07-31";"769.8915";"69.3";"0.43";"4970.88";"153.6";"1110.9976";"11699.6";"19864.19"
"2022-07-30";"765.6928";"68.92";"0.42";"4777.75";"148.7";"1110.9976";"11699.89";"19863.42"
"2022-07-29";"761.0635";"68.5";"0.34";"4075.33";"352.7";"1110.9976";"11682.81";"19863.19"
"2022-07-28";"757.3425";"68.17";"0.35";"4214.27";"371.9";"1110.9976";"11682.91";"19862.95"
"2022-07-27";"753.5066";"67.82";"0.35";"4294.84";"431.4";"1110.9976";"11682.91";"19862.94"
"2022-07-26";"749.6439";"67.47";"0.36";"4295.24";"276.1";"1110.9976";"11683.04";"19862.59"
"2022-07-25";"745.6239";"67.11";"0.39";"4533.42";"217.9";"1110.9976";"11683.65";"19861.68"
"2022-07-24";"741.3057";"66.73";"0.46";"5197.84";"81";"1110.9839";"11692.23";"19859.98"
"2022-07-23";"736.1881";"66.26";"0.43";"4889.46";"159.5";"1110.9839";"11692.63";"19858.92"
"2022-07-22";"731.4187";"65.84";"0.34";"4332.86";"502.6";"1110.984";"11692.99";"19857.99"
"2022-07-21";"727.6086";"65.49";"0.28";"4008.99";"889.7";"1110.984";"11710.41";"19857.3"
"2022-07-20";"724.5151";"65.21";"0.25";"3770.16";"985.4";"1110.984";"11710.78";"19856.31"
"2022-07-19";"721.7385";"64.96";"0.26";"3865.69";"971.7";"1110.984";"11711.08";"19855.53"
"2022-07-18";"718.9907";"64.72";"0.3";"4204.52";"859.7";"1110.984";"11711.29";"19854.98"
